Code,Name,LegalName,Addreess,Telephone
37702205,"ТОВ ""12 ТВК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""12 ТВК""","01021, м.Київ, Печерський район, ВУЛИЦЯ МИХАЙЛА ГРУШЕВСЬКОГО, будинок 28/2, нежиле приміщення 43",+380442054855
14029496,"ТОВ""TV-4 ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""TV-4""","46001, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ГЕТЬМАНА САГАЙДАЧНОГО, будинок 2, квартира 7",+380352431044
37452863,"ТОВ ""А БІЗНЕС""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""А БІЗНЕС""","49000, Дніпропетровська обл., місто Дніпро, Центральний район, ПРОСПЕКТ ОЛЕКСАНДРА ПОЛЯ, будинок 11",+380563757960
13755272,"ТОВ ""АБ-РАДІО""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АБ-РАДІО""","25015, Кіровоградська обл., місто Кропивницький, Подільський район, ВУЛИЦЯ ВЕЛИКА ПЕРСПЕКТИВНА, будинок 17/10",+380953339802
25564063,"ПП ""АВ-СТУДІА""","ПРИВАТНЕ ПІДПРИЄМСТВО ""АВ-СТУДІА""","09161, Київська обл., Білоцерківський район, місто Узин, ВУЛИЦЯ КУЙБИШЕВА, будинок 73, квартира 48",
20594361,"ПП ""АВІС""","ПРИВАТНЕ ПІДПРИЄМСТВО ""АВІС""","08001, Київська обл., Макарівський район, селище міського типу Макарів, ВУЛИЦЯ ДИМИТРІЯ РОСТОВСЬКОГО, будинок 36",
34613207,"ТОВ ""АВРОРА ДИСТРИБУШН""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АВРОРА ДИСТРИБУШН""","04214, м.Київ, Оболонський район,  ВУЛИЦЯ ГЕРОЇВ ДНІПРА, будинок 38, квартира 188",+3804928607
33855297,"ТОВ ""АВТОР-ТЕЛЕКОМ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АВТОР-ТЕЛЕКОМ""","51937, Дніпропетровська обл., місто Кам’янське, Дніпровський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 16",+38060573
32330513,"ПП ""АГЕНТСТВО ""ВЄГА""","ПРИВАТНЕ ПІДПРИЄМСТВО ""АГЕНТСТВО ""ВЄГА""","94214, Луганська обл., місто Алчевськ, ВУЛИЦЯ ЛЕНІНА, будинок 42, кімната 1",
24433815,"ТОВ АГЕНТСТВО ""ВІЗИТ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ АГЕНТСТВО ""ВІЗИТ""","49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ПЛОЩА ЧЕРВОНА, будинок 5-А",+380562318717
